company_name,category_name,month,amount
Sunrise Pvt Ltd,Office Supplies,2022-01,72452.22
Sunrise Pvt Ltd,Office Supplies,2022-02,85257.49
Sunrise Pvt Ltd,Office Supplies,2022-03,78873.25
Sunrise Pvt Ltd,Office Supplies,2022-04,76137.06
Sunrise Pvt Ltd,Office Supplies,2022-05,75401.99
Sunrise Pvt Ltd,Office Supplies,2022-06,71232.93
Sunrise Pvt Ltd,Office Supplies,2022-07,81508.65
Sunrise Pvt Ltd,Office Supplies,2022-08,70366.71
Sunrise Pvt Ltd,Office Supplies,2022-09,80453.53
Sunrise Pvt Ltd,Office Supplies,2022-10,80164.41
Sunrise Pvt Ltd,Office Supplies,2022-11,82517.46
Sunrise Pvt Ltd,Office Supplies,2022-12,68270.42
Sunrise Pvt Ltd,Office Supplies,2023-01,77321.95
Sunrise Pvt Ltd,Office Supplies,2023-02,77409.74
Sunrise Pvt Ltd,Office Supplies,2023-03,83266.03
Sunrise Pvt Ltd,Office Supplies,2023-04,82834.7
Sunrise Pvt Ltd,Office Supplies,2023-05,65988.72
Sunrise Pvt Ltd,Office Supplies,2023-06,81865.27
Sunrise Pvt Ltd,Office Supplies,2023-07,80692.16
Sunrise Pvt Ltd,Office Supplies,2023-08,85536.74
Sunrise Pvt Ltd,Office Supplies,2023-09,80813.17
Sunrise Pvt Ltd,Office Supplies,2023-10,85728.79
Sunrise Pvt Ltd,Office Supplies,2023-11,72618.04
Sunrise Pvt Ltd,Office Supplies,2023-12,67386.41
Sunrise Pvt Ltd,Office Supplies,2024-01,84549.43
Sunrise Pvt Ltd,Office Supplies,2024-02,66480.59
Sunrise Pvt Ltd,Office Supplies,2024-03,75197.4
Sunrise Pvt Ltd,Office Supplies,2024-04,68675.11
Sunrise Pvt Ltd,Office Supplies,2024-05,83155.0
Sunrise Pvt Ltd,Office Supplies,2024-06,75329.97
Sunrise Pvt Ltd,Office Supplies,2024-07,71317.25
Sunrise Pvt Ltd,Office Supplies,2024-08,72542.45
Sunrise Pvt Ltd,Office Supplies,2024-09,85846.65
Sunrise Pvt Ltd,Office Supplies,2024-10,85055.41
Sunrise Pvt Ltd,Office Supplies,2024-11,82739.04
Sunrise Pvt Ltd,Office Supplies,2024-12,78877.18
Sunrise Pvt Ltd,Office Supplies,2025-01,80247.69
Sunrise Pvt Ltd,Office Supplies,2025-02,66688.78
Sunrise Pvt Ltd,Office Supplies,2025-03,72834.8
Sunrise Pvt Ltd,Office Supplies,2025-04,77580.55
Sunrise Pvt Ltd,Office Supplies,2025-05,68125.78
Sunrise Pvt Ltd,Office Supplies,2025-06,84782.83
Sunrise Pvt Ltd,Office Supplies,2025-07,65520.3
Sunrise Pvt Ltd,Office Supplies,2025-08,64970.8
Sunrise Pvt Ltd,Office Supplies,2025-09,84261.29
Sunrise Pvt Ltd,Office Supplies,2025-10,80928.92
Sunrise Pvt Ltd,Office Supplies,2025-11,65781.74
Sunrise Pvt Ltd,Office Supplies,2025-12,75069.13
Sunrise Pvt Ltd,Office Supplies,2026-01,83823.65
Sunrise Pvt Ltd,Office Supplies,2026-02,83374.21
Sunrise Pvt Ltd,Office Supplies,2026-03,81300.82
Sunrise Pvt Ltd,Office Supplies,2026-04,64666.6
Sunrise Pvt Ltd,Office Supplies,2026-05,85823.4
Sunrise Pvt Ltd,Office Supplies,2026-06,81334.87
Sunrise Pvt Ltd,Office Supplies,2026-07,68745.88
Sunrise Pvt Ltd,Rent,2022-01,245606.56
Sunrise Pvt Ltd,Rent,2022-02,244861.33
Sunrise Pvt Ltd,Rent,2022-03,268157.11
Sunrise Pvt Ltd,Rent,2022-04,290897.42
Sunrise Pvt Ltd,Rent,2022-05,294938.98
Sunrise Pvt Ltd,Rent,2022-06,226081.88
Sunrise Pvt Ltd,Rent,2022-07,224109.24
Sunrise Pvt Ltd,Rent,2022-08,248783.11
Sunrise Pvt Ltd,Rent,2022-09,291764.68
Sunrise Pvt Ltd,Rent,2022-10,232431.57
Sunrise Pvt Ltd,Rent,2022-11,297151.35
Sunrise Pvt Ltd,Rent,2022-12,223995.22
Sunrise Pvt Ltd,Rent,2023-01,255601.59
Sunrise Pvt Ltd,Rent,2023-02,298689.93
Sunrise Pvt Ltd,Rent,2023-03,255310.28
Sunrise Pvt Ltd,Rent,2023-04,254208.53
Sunrise Pvt Ltd,Rent,2023-05,237848.42
Sunrise Pvt Ltd,Rent,2023-06,278672.11
Sunrise Pvt Ltd,Rent,2023-07,286892.03
Sunrise Pvt Ltd,Rent,2023-08,256930.28
Sunrise Pvt Ltd,Rent,2023-09,266544.34
Sunrise Pvt Ltd,Rent,2023-10,286479.78
Sunrise Pvt Ltd,Rent,2023-11,290151.77
Sunrise Pvt Ltd,Rent,2023-12,247265.18
Sunrise Pvt Ltd,Rent,2024-01,233146.75
Sunrise Pvt Ltd,Rent,2024-02,235587.78
Sunrise Pvt Ltd,Rent,2024-03,276486.48
Sunrise Pvt Ltd,Rent,2024-04,232539.4
Sunrise Pvt Ltd,Rent,2024-05,248783.89
Sunrise Pvt Ltd,Rent,2024-06,268090.84
Sunrise Pvt Ltd,Rent,2024-07,226625.31
Sunrise Pvt Ltd,Rent,2024-08,291790.25
Sunrise Pvt Ltd,Rent,2024-09,298801.22
Sunrise Pvt Ltd,Rent,2024-10,259278.32
Sunrise Pvt Ltd,Rent,2024-11,286042.27
Sunrise Pvt Ltd,Rent,2024-12,287192.94
Sunrise Pvt Ltd,Rent,2025-01,258904.52
Sunrise Pvt Ltd,Rent,2025-02,230383.49
Sunrise Pvt Ltd,Rent,2025-03,277127.35
Sunrise Pvt Ltd,Rent,2025-04,231414.58
Sunrise Pvt Ltd,Rent,2025-05,290143.9
Sunrise Pvt Ltd,Rent,2025-06,234235.75
Sunrise Pvt Ltd,Rent,2025-07,296491.58
Sunrise Pvt Ltd,Rent,2025-08,235973.24
Sunrise Pvt Ltd,Rent,2025-09,302226.76
Sunrise Pvt Ltd,Rent,2025-10,294907.69
Sunrise Pvt Ltd,Rent,2025-11,272337.18
Sunrise Pvt Ltd,Rent,2025-12,259294.26
Sunrise Pvt Ltd,Rent,2026-01,270332.57
Sunrise Pvt Ltd,Rent,2026-02,299190.84
Sunrise Pvt Ltd,Rent,2026-03,238606.78
Sunrise Pvt Ltd,Rent,2026-04,282767.34
Sunrise Pvt Ltd,Rent,2026-05,290365.29
Sunrise Pvt Ltd,Rent,2026-06,230628.04
Sunrise Pvt Ltd,Rent,2026-07,256721.8
Sunrise Pvt Ltd,Utilities,2022-01,59106.43
Sunrise Pvt Ltd,Utilities,2022-02,64495.6
Sunrise Pvt Ltd,Utilities,2022-03,58768.29
Sunrise Pvt Ltd,Utilities,2022-04,52036.73
Sunrise Pvt Ltd,Utilities,2022-05,63172.97
Sunrise Pvt Ltd,Utilities,2022-06,56213.9
Sunrise Pvt Ltd,Utilities,2022-07,64978.5
Sunrise Pvt Ltd,Utilities,2022-08,56599.7
Sunrise Pvt Ltd,Utilities,2022-09,50373.19
Sunrise Pvt Ltd,Utilities,2022-10,58561.98
Sunrise Pvt Ltd,Utilities,2022-11,52313.17
Sunrise Pvt Ltd,Utilities,2022-12,54796.92
Sunrise Pvt Ltd,Utilities,2023-01,58227.77
Sunrise Pvt Ltd,Utilities,2023-02,56998.31
Sunrise Pvt Ltd,Utilities,2023-03,57296.13
Sunrise Pvt Ltd,Utilities,2023-04,53135.02
Sunrise Pvt Ltd,Utilities,2023-05,55317.38
Sunrise Pvt Ltd,Utilities,2023-06,60820.14
Sunrise Pvt Ltd,Utilities,2023-07,64897.38
Sunrise Pvt Ltd,Utilities,2023-08,65087.21
Sunrise Pvt Ltd,Utilities,2023-09,60621.48
Sunrise Pvt Ltd,Utilities,2023-10,57256.73
