name,email,phone,gst_number,address
BrightPath EdTech,accounts@brightpath.in,+91-11-11112222,07AABCB1111A1Z1,"South Extension, Delhi"
MediCare Clinics,finance@medicare.in,+91-22-22223333,27AABCM2222B1Z2,"Bandra West, Mumbai"
EcoBuild Constructions,billing@ecobuild.in,+91-80-33334444,29AABCE3333C1Z3,"HSR Layout, Bengaluru"
FashionHub Retail,ap@fashionhub.in,+91-44-44445555,33AABCF4444D1Z4,"T Nagar, Chennai"
AgriFresh Exports,orders@agrifresh.in,+91-79-55556666,24AABCA5555E1Z5,"Navrangpura, Ahmedabad"
CloudNine Hospitality,accounts@cloudnine.in,+91-40-66667777,36AABCC6666F1Z6,"Banjara Hills, Hyderabad"
PixelCraft Agency,hello@pixelcraft.in,+91-20-77778888,27AABCP7777G1Z7,"Kothrud, Pune"
SecureNet IT Services,billing@securenet.in,+91-124-88889999,06AABCS8888H1Z8,"Cyber City, Gurugram"
Wellness Yoga Studio,info@wellnessyoga.in,+91-80-99990000,29AABCW9999I1Z9,"Jayanagar, Bengaluru"
AutoParts Direct,sales@autoparts.in,+91-22-10101010,27AABCA1010J1Z0,"Andheri West, Mumbai"
LegalEase Consultants,finance@legalease.in,+91-11-12121212,07AABCL1212K1Z1,"Karol Bagh, Delhi"
TravelMate Tours,accounts@travelmate.in,+91-79-13131313,24AABCT1313L1Z2,"Satellite, Ahmedabad"
FreshBake Foods,billing@freshbake.in,+91-33-14141414,19AABCF1414M1Z3,"Park Street, Kolkata"
SmartHome Automation,ap@smarthome.in,+91-40-15151515,36AABCS1515N1Z4,"Gachibowli, Hyderabad"
EduPrime Coaching,fees@eduprime.in,+91-20-16161616,27AABCE1616O1Z5,"Hadapsar, Pune"
GreenEnergy Solar,projects@greenenergy.in,+91-80-17171717,29AABCG1717P1Z6,"Electronic City, Bengaluru"
UrbanFit Gym Chain,billing@urbanfit.in,+91-22-18181818,27AABCU1818Q1Z7,"Powai, Mumbai"
DataDrive Analytics,contracts@datadrive.in,+91-124-19191919,06AABCD1919R1Z8,"Udyog Vihar, Gurugram"
Heritage Handicrafts,export@heritage.in,+91-141-20202020,08AABCH2020S1Z9,"Jaipur, Rajasthan"
NextGen Robotics,finance@nextgenrobotics.in,+91-80-21212121,29AABCN2121T1Z0,"Bellandur, Bengaluru"
