date,amount,type,category,description,vendor,customer,payment_method,reference_number,invoice_number,gst_amount,tds_amount,status,notes
2025-04-01,40497.81,expense,Professional Fees,Monthly cloud hosting,Google Cloud India,,cash,REF2025055,INV-2025-1055,0,0,completed,Demo transaction for FinPilot presentation
2025-04-01,14682.67,expense,Travel,CA audit fees,QuickBooks Partner,,cash,REF2025115,INV-2025-1115,2642.88,0,completed,Demo transaction for FinPilot presentation
2025-04-02,38936.34,expense,Salaries,Electricity bill,UrbanClap Pro,,credit_card,REF2025031,INV-2025-1031,7008.54,0,completed,Demo transaction for FinPilot presentation
2025-04-06,15447.18,expense,Travel,Client meeting travel,Google Cloud India,,upi,REF2025089,INV-2025-1089,2780.49,0,completed,Demo transaction for FinPilot presentation
2025-04-07,56398.55,income,Other Income,Service contract renewal,,SmartHome Automation,debit_card,REF2025084,INV-2025-1084,0,0,completed,Demo transaction for FinPilot presentation
2025-04-11,10455.81,expense,Rent,Office stationery purchase,Canon India,,net_banking,REF2025110,INV-2025-1110,1882.05,0,completed,Demo transaction for FinPilot presentation
2025-04-13,13872.55,expense,Marketing,Team salaries,QuickBooks Partner,,upi,REF2025051,INV-2025-1051,2497.06,0,completed,Demo transaction for FinPilot presentation
2025-04-17,6498.92,income,Sales,Product sale - Q1,,LegalEase Consultants,bank_transfer,REF2025024,INV-2025-1024,0,0,completed,Demo transaction for FinPilot presentation
2025-04-19,25328.63,expense,Professional Fees,Electricity bill,Adobe Systems,,credit_card,REF2025045,INV-2025-1045,0,0,completed,Demo transaction for FinPilot presentation
2025-04-21,6834.6,expense,Other Expense,Client meeting travel,Local CA Associates,,credit_card,REF2025046,INV-2025-1046,0,0,completed,Demo transaction for FinPilot presentation
2025-04-22,38293.14,expense,Travel,Office rent - May,HDFC Bank,,cash,REF2025083,INV-2025-1083,6892.77,0,completed,Demo transaction for FinPilot presentation
2025-04-30,5211.67,expense,Office Supplies,Client meeting travel,Tata Power,,cash,REF2025019,INV-2025-1019,0,0,completed,Demo transaction for FinPilot presentation
2025-04-30,2446.38,expense,Office Supplies,Software subscription,Google Cloud India,,bank_transfer,REF2025034,INV-2025-1034,440.35,0,completed,Demo transaction for FinPilot presentation
2025-05-02,16072.53,expense,Professional Fees,Monthly cloud hosting,UrbanClap Pro,,net_banking,REF2025027,INV-2025-1027,2893.06,0,completed,Demo transaction for FinPilot presentation
2025-05-02,13492.51,expense,Salaries,Office stationery purchase,Swiggy Instamart B2B,,credit_card,REF2025033,INV-2025-1033,2428.65,0,completed,Demo transaction for FinPilot presentation
2025-05-04,37016.76,expense,Salaries,CA audit fees,Tata Power,,cash,REF2025010,INV-2025-1010,6663.02,0,completed,Demo transaction for FinPilot presentation
2025-05-07,1662.27,expense,Travel,Client meeting travel,QuickBooks Partner,,upi,REF2025105,INV-2025-1105,0,0,completed,Demo transaction for FinPilot presentation
2025-05-13,1408.1,expense,Other Expense,Office stationery purchase,QuickBooks Partner,,debit_card,REF2025075,INV-2025-1075,0,0,completed,Demo transaction for FinPilot presentation
2025-05-17,15835.83,income,Interest Income,Service contract renewal,,GreenEnergy Solar,credit_card,REF2025112,INV-2025-1112,0,0,completed,Demo transaction for FinPilot presentation
