row_number,status,duplicate_of,date,amount,type,category,description,vendor,customer,payment_method,reference_number,invoice_number,gst_amount,tds_amount,status,notes
2,imported,,2021-05-22,111284.26,expense,Salaries,Employee salary disbursement,Metro Logistics,,upi,REF2021809570,INV-2021-81482,0.0,2225.69,completed,
3,imported,,2024-11-21,352155.86,income,Other Income,Export order payment,,,credit_card,REF2024331148,INV-2024-68878,0.0,0.0,completed,
4,imported,,2023-02-19,55594.09,income,Other Income,Service contract payment,,,cash,REF2023201414,INV-2023-57052,0.0,0.0,completed,
5,duplicate_flagged,Same invoice number as an existing transaction,2022-11-22,83025.76,transfer,Marketing,Inter-account fund transfer,,,cash,REF2022705397,INV-2022-35203,0.0,0.0,completed,
6,imported,,2026-02-08,2109.93,other,Travel,Sundry payment,,,credit_card,REF2026575435,INV-2026-93320,0.0,0.0,completed,
7,imported,,2024-11-18,40344.24,income,Service Revenue,Client project milestone payment,,Retail Buyer,bank_transfer,REF2024660086,INV-2024-42087,0.0,0.0,pending,
8,duplicate_flagged,Same invoice number as an existing transaction,2022-07-14,246629.88,tax,Other Expense,TDS remittance to government,Metro Logistics,,credit_card,REF2022321231,INV-2022-84341,0.0,0.0,completed,
9,imported,,2022-01-18,79831.61,tax,Bank Charges,TDS remittance to government,,,cheque,REF2022665158,INV-2022-44438,0.0,0.0,completed,
10,imported,,2024-02-08,249290.34,income,Sales,Service contract payment,,,cheque,REF2024214975,INV-2024-30033,54532.26,0.0,completed,
11,imported,,2025-01-23,108164.13,expense,Other Expense,Repair and maintenance work,,,bank_transfer,REF2025905934,INV-2025-94012,4583.23,0.0,completed,
12,imported,,2024-10-02,44907.03,expense,Other Expense,Repair and maintenance work,,,cheque,REF2024260263,INV-2024-59009,0.0,0.0,completed,
13,imported,,2021-11-16,139378.97,expense,Travel,Courier and freight charges,Prime Stationery,,upi,REF2021694916,INV-2021-20322,14933.46,0.0,completed,
14,imported,,2024-08-25,214453.28,income,Service Revenue,Client project milestone payment,,,bank_transfer,REF2024665492,INV-2024-36365,57187.54,0.0,completed,
15,imported,,2022-07-16,88348.33,expense,Office Supplies,Courier and freight charges,Apex Office Supplies,,debit_card,REF2022340062,INV-2022-18834,8984.58,0.0,completed,
16,duplicate_flagged,Same reference number as an existing transaction,2024-06-13,290224.77,income,Service Revenue,Export order payment,,,upi,REF2024922733,INV-2024-71993,63486.67,0.0,completed,
17,imported,,2024-11-14,53716.85,income,Other Income,Client project milestone payment,,,upi,REF2024863587,INV-2024-54473,5035.95,0.0,completed,
18,imported,,2023-09-25,404971.01,income,Sales,Client project milestone payment,,,credit_card,REF2023153045,INV-2023-95477,0.0,0.0,pending,
19,imported,,2023-07-01,135385.94,expense,Utilities,Repair and maintenance work,Fusion IT Services,,bank_transfer,REF2023378085,INV-2023-69638,0.0,0.0,completed,
20,duplicate_flagged,Same invoice number as an existing transaction,2022-06-20,145312.66,expense,Other Expense,Vendor invoice settlement,Reliable Electricals,,net_banking,REF2022159942,INV-2022-16572,0.0,0.0,completed,
21,imported,,2021-08-19,89336.26,expense,Salaries,Business travel expense,Delta Security Services,,net_banking,REF2021358175,INV-2021-85880,0.0,4466.81,completed,
22,imported,,2023-06-20,39212.48,salary,Salaries,Monthly salary payout,,,net_banking,REF2023776856,INV-2023-49321,0.0,0.0,pending,
23,imported,,2021-08-29,10798.92,other,Other Expense,Miscellaneous transaction,,,debit_card,REF2021378082,INV-2021-27361,0.0,0.0,pending,
24,imported,,2025-03-11,154745.99,income,Sales,Retainer fee received,,Corporate Client,upi,REF2025800305,INV-2025-82692,6908.3,0.0,completed,
25,imported,,2025-02-06,318947.79,income,Interest Income,Client project milestone payment,,Walk-in Customer,upi,REF2025629959,INV-2025-74032,13514.74,0.0,completed,
26,imported,,2024-05-04,354305.39,income,Sales,Export order payment,,,cash,REF2024217308,INV-2024-19862,56941.94,0.0,completed,
27,duplicate_flagged,Same invoice number as an existing transaction,2025-09-17,145835.0,expense,Office Supplies,Raw material purchase,,,upi,REF2025320281,INV-2025-99399,0.0,0.0,completed,
28,imported,,2022-07-29,174952.05,salary,Salaries,Staff salary - payroll run,,,debit_card,REF2022938742,INV-2022-33206,0.0,0.0,completed,
29,imported,,2025-05-15,121650.25,expense,Travel,Courier and freight charges,Metro Logistics,,credit_card,REF2025501124,INV-2025-15075,0.0,0.0,completed,
30,imported,,2022-07-01,57092.23,loan,Salaries,Loan disbursement received,Skyline Advertising,,bank_transfer,REF2022172792,INV-2022-46585,0.0,0.0,completed,
31,imported,,2022-04-01,292391.92,income,Interest Income,Service contract payment,,,bank_transfer,REF2022140115,INV-2022-24208,11421.56,0.0,completed,
32,imported,,2024-02-29,463159.71,income,Service Revenue,Invoice payment received,,Corporate Client,debit_card,REF2024481913,INV-2024-66531,0.0,0.0,completed,
33,imported,,2023-07-16,49062.2,expense,Travel,Business travel expense,Prime Stationery,,debit_card,REF2023540869,INV-2023-97153,0.0,0.0,completed,
34,imported,,2022-06-05,129251.5,tax,Other Expense,TDS remittance to government,Greenfield Packaging,,net_banking,REF2022808446,INV-2022-38010,0.0,0.0,completed,
35,imported,,2024-10-18,311534.1,income,Sales,Service contract payment,,,upi,REF2024958179,INV-2024-40784,29206.32,0.0,completed,
36,imported,,2024-10-11,289957.1,income,Other Income,Invoice payment received,,Corporate Client,cash,REF2024618392,INV-2024-62383,0.0,0.0,pending,
37,imported,,2025-02-24,261389.09,income,Sales,Service contract payment,,,upi,REF2025684482,INV-2025-42662,36757.84,0.0,completed,
38,imported,,2026-05-02,27484.02,refund,Utilities,GST input refund,,Walk-in Customer,credit_card,REF2026879779,INV-2026-72216,0.0,0.0,completed,
39,imported,,2022-11-07,121074.32,income,Interest Income,Invoice payment received,,Walk-in Customer,upi,REF2022435239,INV-2022-80798,0.0,0.0,completed,
40,imported,,2021-08-06,31183.79,expense,Professional Fees,Raw material purchase,Delta Security Services,,credit_card,REF2021829308,INV-2021-12560,1321.35,3118.38,completed,
41,duplicate_flagged,Same invoice number as an existing transaction,2026-04-13,55799.66,salary,Salaries,Monthly salary payout,,,bank_transfer,REF2026330080,INV-2026-45774,0.0,5579.97,completed,
42,imported,,2024-03-29,1542.93,refund,Professional Fees,Vendor refund received,,,upi,REF2024720644,INV-2024-83975,0.0,0.0,completed,
43,duplicate_flagged,Same invoice number as an existing transaction,2023-01-30,50757.58,expense,Professional Fees,Monthly office rent,Fusion IT Services,,net_banking,REF2023364525,INV-2023-20735,8157.47,0.0,completed,
44,imported,,2021-05-12,62322.9,transfer,Salaries,Petty cash transfer,,,cash,REF2021232352,INV-2021-72070,0.0,3116.15,completed,
45,imported,,2021-11-21,116713.22,expense,Utilities,Raw material purchase,,,upi,REF2021213349,INV-2021-85849,0.0,0.0,completed,
46,imported,,2025-02-13,168655.75,salary,Salaries,Monthly salary payout,,,cash,REF2025354646,INV-2025-23356,0.0,0.0,completed,
47,imported,,2024-03-27,64371.03,expense,Marketing,Courier and freight charges,Reliable Electricals,,credit_card,REF2024113266,INV-2024-65057,0.0,0.0,completed,
48,imported,,2024-11-23,40658.34,expense,Other Expense,Business travel expense,,,credit_card,REF2024587455,INV-2024-67091,4646.67,0.0,completed,
49,imported,,2024-09-01,335753.29,income,Interest Income,Retainer fee received,,,upi,REF2024130094,INV-2024-74789,0.0,0.0,completed,
50,imported,,2024-05-13,1720.64,expense,Salaries,Courier and freight charges,Fusion IT Services,,cheque,REF2024612311,INV-2024-82768,0.0,0.0,completed,
51,duplicate_flagged,Same invoice number as an existing transaction,2023-07-08,347434.64,income,Interest Income,Retainer fee received,,Corporate Client,net_banking,REF2023796212,INV-2023-86225,0.0,0.0,completed,
52,imported,,2022-07-17,18274.25,expense,Salaries,Electricity bill payment,Horizon Freight,,upi,REF2022899213,INV-2022-34267,0.0,913.71,completed,
53,duplicate_flagged,Same invoice number as an existing transaction,2022-12-11,2319.43,expense,Other Expense,Courier and freight charges,Apex Office Supplies,,bank_transfer,REF2022157174,INV-2022-82529,0.0,0.0,pending,
54,duplicate_flagged,Same invoice number as an existing transaction,2023-12-07,223032.06,income,Service Revenue,Client project milestone payment,,,net_banking,REF2023153872,INV-2023-43092,10620.57,0.0,completed,
55,imported,,2022-08-22,17944.04,expense,Professional Fees,Raw material purchase,,,upi,REF2022929151,INV-2022-91057,4257.91,0.0,completed,
56,duplicate_flagged,Same invoice number as an existing transaction,2025-05-25,15065.19,expense,Salaries,Vendor invoice settlement,,,upi,REF2025377501,INV-2025-96563,0.0,0.0,completed,50% advance; balance on delivery
57,imported,,2021-06-06,57823.1,salary,Salaries,Staff salary - payroll run,,,cash,REF2021841296,INV-2021-47056,0.0,0.0,completed,
58,imported,,2026-06-26,29833.32,expense,Rent,Electricity bill payment,CloudNet Hosting,,upi,REF2026378535,INV-2026-28643,4195.31,0.0,completed,
59,imported,,2022-10-10,75170.73,expense,Bank Charges,Monthly office rent,Delta Security Services,,cheque,REF2022141797,INV-2022-66626,0.0,0.0,completed,
60,imported,,2024-06-22,2939.74,adjustment,Office Supplies,Accounting adjustment entry,,,credit_card,REF2024901909,INV-2024-98117,0.0,0.0,completed,
61,imported,,2022-04-07,149542.43,expense,Professional Fees,Business travel expense,,,net_banking,REF2022615611,INV-2022-21959,6676.0,14954.24,completed,
62,imported,,2021-06-15,68332.92,expense,Marketing,Monthly office rent,Metro Logistics,,credit_card,REF2021910075,INV-2021-62976,14947.83,0.0,completed,
63,duplicate_flagged,Same invoice number as an existing transaction,2024-10-02,66417.74,expense,Office Supplies,Business travel expense,Horizon Freight,,bank_transfer,REF2024237377,INV-2024-47752,7116.19,0.0,completed,
64,duplicate_flagged,Same invoice number as an existing transaction,2025-12-19,136956.9,expense,Bank Charges,Repair and maintenance work,,,net_banking,REF2025779172,INV-2025-30181,0.0,0.0,completed,
65,imported,,2023-11-24,36710.89,expense,Other Expense,Repair and maintenance work,Prime Stationery,,cheque,REF2023728492,INV-2023-76616,8711.06,0.0,completed,
66,imported,,2025-12-11,295534.17,income,Other Income,Client project milestone payment,,,bank_transfer,REF2025255813,INV-2025-68529,70126.75,0.0,completed,
67,imported,,2026-01-18,388894.52,income,Sales,Client project milestone payment,,,credit_card,REF2026433632,INV-2026-71993,0.0,0.0,completed,
68,imported,,2024-07-22,169337.38,income,Sales,Client project milestone payment,,Retail Buyer,upi,REF2024986088,INV-2024-67711,0.0,0.0,completed,
69,imported,,2024-09-28,694241.08,investment,Rent,Fixed deposit placement,,,credit_card,REF2024993140,INV-2024-53065,0.0,0.0,completed,
70,imported,,2023-12-26,130882.98,expense,Office Supplies,Electricity bill payment,,,cash,REF2023346174,INV-2023-92727,5112.62,0.0,completed,
71,imported,,2022-03-07,143390.22,salary,Salaries,Monthly salary payout,,,bank_transfer,REF2022130353,INV-2022-16028,0.0,14339.02,completed,
72,imported,,2022-04-04,25663.55,expense,Rent,Employee salary disbursement,,,cash,REF2022501126,INV-2022-91226,0.0,0.0,completed,
73,imported,,2021-04-20,449959.72,income,Other Income,Retainer fee received,,,upi,REF2021401603,INV-2021-98815,0.0,0.0,pending,
74,duplicate_flagged,Same invoice number as an existing transaction,2025-12-27,45457.83,expense,Professional Fees,Raw material purchase,,,bank_transfer,REF2025211834,INV-2025-41091,7792.77,0.0,completed,
75,imported,,2025-06-04,146045.7,expense,Bank Charges,Employee salary disbursement,,,cash,REF2025400096,INV-2025-40162,0.0,0.0,completed,
76,imported,,2024-12-11,102192.09,expense,Utilities,Electricity bill payment,,,upi,REF2024757937,INV-2024-94717,16423.73,0.0,completed,
77,imported,,2022-05-17,19997.54,expense,Other Expense,Software subscription renewal,,,net_banking,REF2022483629,INV-2022-79579,4745.18,0.0,completed,
78,imported,,2025-06-23,144981.73,expense,Professional Fees,Raw material purchase,,,bank_transfer,REF2025943671,INV-2025-83048,5663.35,7249.09,completed,
79,duplicate_flagged,Same invoice number as an existing transaction,2022-07-23,47411.95,transfer,Other Expense,Petty cash transfer,,,upi,REF2022443939,INV-2022-89964,0.0,0.0,completed,
80,imported,,2022-01-12,6992.95,expense,Office Supplies,Vendor invoice settlement,Greenfield Packaging,,upi,REF2022221761,INV-2022-22739,983.38,0.0,completed,
81,imported,,2024-09-12,61335.76,expense,Travel,Monthly office rent,Reliable Electricals,,bank_transfer,REF2024327823,INV-2024-68115,9356.3,0.0,completed,
82,imported,,2026-01-01,412974.59,income,Sales,Client project milestone payment,,,net_banking,REF2026794963,INV-2026-37801,0.0,0.0,completed,
83,duplicate_flagged,Same invoice number as an existing transaction,2025-11-25,766331.59,investment,Salaries,Equity purchase,,,credit_card,REF2025714867,INV-2025-38305,0.0,0.0,completed,"Amount: ₹1,00,000 (approx)"
84,imported,,2025-09-22,3572.49,other,Office Supplies,Sundry payment,,,bank_transfer,REF2025238205,INV-2025-11947,0.0,0.0,completed,
85,imported,,2023-08-11,265412.34,income,Sales,Export order payment,,,net_banking,REF2023599380,INV-2023-68756,11246.29,0.0,completed,
86,imported,,2025-12-31,203800.54,income,Sales,Service contract payment,,Walk-in Customer,bank_transfer,REF2025614084,INV-2025-68138,28659.45,0.0,completed,
87,imported,,2021-10-21,119005.79,expense,Rent,Software subscription renewal,,,cheque,REF2021782535,INV-2021-82264,11156.79,0.0,completed,
88,imported,,2023-01-01,64129.25,expense,Travel,Vendor invoice settlement,CloudNet Hosting,,upi,REF2023820184,INV-2023-72163,2717.34,0.0,completed,
89,imported,,2023-02-05,100567.99,expense,Professional Fees,Employee salary disbursement,Fusion IT Services,,wallet,REF2023856086,INV-2023-16743,10775.14,0.0,completed,
90,imported,,2021-11-22,114438.32,expense,Salaries,Repair and maintenance work,,,wallet,REF2021986209,INV-2021-83526,0.0,0.0,completed,
91,duplicate_flagged,Same invoice number as an existing transaction,2022-09-30,3380.84,transfer,Travel,Inter-account fund transfer,,,debit_card,REF2022836833,INV-2022-50499,0.0,0.0,completed,
92,imported,,2022-01-16,111197.17,expense,Office Supplies,Monthly office rent,Horizon Freight,,bank_transfer,REF2022325583,INV-2022-59308,19062.37,0.0,completed,
93,imported,,2021-09-15,65339.03,salary,Salaries,Staff salary - payroll run,,,net_banking,REF2021794093,INV-2021-65576,0.0,653.39,completed,
94,imported,,2023-12-23,79134.73,expense,Travel,Business travel expense,Fusion IT Services,,upi,REF2023728437,INV-2023-17180,8047.6,0.0,completed,
95,imported,,2022-03-26,68946.92,income,Service Revenue,Invoice payment received,,,credit_card,REF2022624563,INV-2022-83233,0.0,0.0,completed,
96,imported,,2023-01-02,86448.72,expense,Professional Fees,Employee salary disbursement,,,upi,REF2023537983,INV-2023-47947,20513.26,864.49,completed,
97,imported,,2026-02-16,46679.13,expense,Marketing,Vendor invoice settlement,CloudNet Hosting,,cash,REF2026180089,INV-2026-76910,7120.55,0.0,completed,
98,imported,,2024-08-16,80670.55,income,Sales,Service contract payment,,Corporate Client,cheque,REF2024285751,INV-2024-92306,0.0,0.0,completed,
99,imported,,2024-10-06,6391.16,other,Bank Charges,Sundry payment,,,bank_transfer,REF2024171603,INV-2024-71462,0.0,0.0,completed,
100,imported,,2023-11-02,67896.7,expense,Office Supplies,Repair and maintenance work,Skyline Advertising,,credit_card,REF2023180458,INV-2023-94497,0.0,0.0,completed,
101,imported,,2025-05-23,134402.34,expense,Bank Charges,Repair and maintenance work,,,upi,REF2025699425,INV-2025-95437,0.0,0.0,completed,
102,duplicate_flagged,Same invoice number as an existing transaction,2026-04-16,419501.7,income,Sales,Retainer fee received,,Walk-in Customer,cash,REF2026629057,INV-2026-94689,42661.19,0.0,cancelled,
103,imported,,2025-01-20,89763.3,expense,Marketing,Vendor invoice settlement,Metro Logistics,,bank_transfer,REF2025685066,INV-2025-98916,0.0,0.0,completed,
104,imported,,2023-03-18,46672.71,expense,Professional Fees,Repair and maintenance work,Metro Logistics,,bank_transfer,REF2023424620,INV-2023-83259,0.0,0.0,completed,
105,imported,,2021-05-08,54517.13,expense,Utilities,Repair and maintenance work,,,upi,REF2021458332,INV-2021-73736,9345.79,0.0,cancelled,
106,imported,,2021-06-17,198747.81,tax,Bank Charges,Advance tax payment,CloudNet Hosting,,credit_card,REF2021270128,INV-2021-33703,0.0,0.0,completed,
107,imported,,2025-04-13,122577.45,income,Other Income,Retainer fee received,,,cheque,REF2025740255,INV-2025-47346,30644.36,0.0,completed,
