name,email,phone,gst_number,address
Amazon Web Services,billing@aws.amazon.com,+91-80-12345678,29AABCA1234A1Z5,"Embassy Tech Village, Bengaluru"
Microsoft India,billing@microsoft.com,+91-124-4567890,06AABCM5678B1Z3,"Gurugram, Haryana"
Office Depot India,sales@officedepot.in,+91-22-67890123,27AABCO9012C1Z1,"Andheri East, Mumbai"
Tata Power,support@tatapower.com,+91-22-66654321,27AABCT3456D1Z7,"Colaba, Mumbai"
Airtel Business,enterprise@airtel.in,+91-11-45678901,07AABCA7890E1Z4,"Connaught Place, Delhi"
HDFC Bank,corporate@hdfcbank.com,+91-22-66543432,27AABCH2345F1Z6,"Nariman Point, Mumbai"
UrbanClap Pro,vendors@urbancompany.com,+91-80-98765432,29AABCU6789G1Z0,"Indiranagar, Bengaluru"
FedEx Logistics,billing@fedex.com,+91-40-23456789,36AABCF1234H1Z2,"HITEC City, Hyderabad"
Google Cloud India,cloud-billing@google.com,+91-80-55551234,29AABCG4321I1Z9,"Whitefield, Bengaluru"
Reliance Jio,enterprise@jio.com,+91-22-35551234,27AABCR8765J1Z3,Navi Mumbai
QuickBooks Partner,support@quickbooks.in,+91-124-33334444,06AABCQ5432K1Z8,Gurugram
Swiggy Instamart B2B,b2b@swiggy.in,+91-80-44445555,29AABCS7654L1Z1,"Koramangala, Bengaluru"
Canon India,service@canon.co.in,+91-124-66667777,06AABCC9876M1Z5,"Manesar, Haryana"
Adobe Systems,billing@adobe.com,+91-80-77778888,29AABCA2468N1Z7,"Manyata Tech Park, Bengaluru"
Local CA Associates,ca@localassociates.in,+91-20-88889999,27AABCL1357O1Z0,"Camp, Pune"
