name,gst_number,email,phone,address,_test_case
Everest Office Supplies,29NPYDH7535Q1ZI,vendor0@vendormail.test,9650453226,"816 Industrial Estate, Karnataka",
Meridian Logistics,36BQJDA6596G8ZE,vendor1@vendormail.test,9793072184,"529 Commercial Complex, Telangana",
BlueWave Hosting,36SOAFR7576M5Z4,vendor2@vendormail.test,9719794377,"859 Commercial Complex, Telangana",
Silverline Stationery,21PEDET5300E9ZX,vendor3@vendormail.test,9355789337,"383 Market Road, Odisha",
Crestline Advertising,19UCPZO5287R1Z7,vendor4@vendormail.test,9572437898,"3 Market Road, West Bengal",
Nimbus Electricals,33NSKWC3794B8Z3,vendor5@vendormail.test,9796712673,"106 Market Road, Tamil Nadu",
BlueWave IT Services,10BFLOJ8252T7Z2,vendor6@vendormail.test,9850962066,"156 Market Road, Bihar",
Anchor Packaging,03RIBAV1008B8ZD,vendor7@vendormail.test,9975359484,"109 Commercial Complex, Punjab",
Orbit Freight,,vendor8@vendormail.test,9880087137,"181 Industrial Estate, Jammu and Kashmir",
Fusion Security Services,18ROETQ3877B2ZA,vendor9@vendormail.test,9824326118,"177 Market Road, Assam",
Meridian Print Works,,vendor10@vendormail.test,9770412502,"810 Market Road, Assam",
Vertex Textiles,21RRWIF7918K8ZT,vendor11@vendormail.test,9373165202,"852 Industrial Estate, Odisha",
Fusion Consultants,32RQTRE5608C7ZS,vendor12@vendormail.test,9221339048,"358 Market Road, Kerala",
Metro Engineering,02YUWCX4074H8ZO,vendor13@vendormail.test,9576890143,"809 Commercial Complex, Himachal Pradesh",
Emerald Distributors,,vendor14@vendormail.test,9715714375,"790 Market Road, Telangana",
Northstar Office Supplies,24CRJXV6246K8ZF,vendor15@vendormail.test,9967942555,"815 Commercial Complex, Gujarat",
Skyline Logistics,02UNPKN5506I1Z6,vendor16@vendormail.test,9162612110,"217 Commercial Complex, Himachal Pradesh",
Zenith Hosting,10TRLGA8155G3ZQ,vendor17@vendormail.test,9501456357,"784 Industrial Estate, Bihar",
Reliable Stationery,21TCXCZ9488L2Z8,vendor18@vendormail.test,9368741801,"421 Market Road, Odisha",
Horizon Advertising,,vendor19@vendormail.test,9694748831,"685 Market Road, Karnataka",
Reliable Electricals,06BJODR1857V8ZM,vendor20@vendormail.test,9798828107,"282 Market Road, Haryana",
Anchor IT Services,,vendor21@vendormail.test,9915356141,"41 Industrial Estate, Jammu and Kashmir",
Golden Harvest Packaging,,vendor22@vendormail.test,9384216486,"159 Commercial Complex, Jharkhand",
Northstar Freight,,vendor23@vendormail.test,9811566329,"955 Industrial Estate, Chhattisgarh",
Sunrise Security Services,11HVVNW8934Z9ZG,vendor24@vendormail.test,9871227566,"625 Industrial Estate, Sikkim",
Everest Print Works,,vendor25@vendormail.test,9605174444,"996 Market Road, Bihar",
Prime Textiles,,vendor26@vendormail.test,9400691579,"458 Commercial Complex, Gujarat",
Greenfield Consultants,06PYYMO5129V8ZL,vendor27@vendormail.test,9186547952,"269 Commercial Complex, Haryana",
Everest Engineering,22IBHUQ3964N8Z1,vendor28@vendormail.test,9765369356,"942 Market Road, Chhattisgarh",
Zenith Distributors,,vendor29@vendormail.test,9733164377,"555 Market Road, Odisha",
Delta Office Supplies,,vendor30@vendormail.test,9414814722,"286 Commercial Complex, Sikkim",
Zenith Logistics,21TZGAX3231X4Z0,vendor31@vendormail.test,9103501567,"708 Commercial Complex, Odisha",
Northstar Hosting,33LRBSF7174H9ZB,vendor32@vendormail.test,9219056404,"157 Commercial Complex, Tamil Nadu",
Falcon Stationery,,vendor33@vendormail.test,9945706949,"302 Commercial Complex, Bihar",
Northstar Advertising,36UJDXZ7710R7ZI,vendor34@vendormail.test,9857257491,"136 Market Road, Telangana",
Anchor Electricals,02ZVAKP9494A6ZO,vendor35@vendormail.test,9209669955,"388 Industrial Estate, Himachal Pradesh",
Golden Harvest IT Services,,vendor36@vendormail.test,9782540783,"946 Commercial Complex, Odisha",
CloudNet Packaging,07VYEXQ9061C9Z0,vendor37@vendormail.test,9782620320,"665 Industrial Estate, Delhi",
Skyline Freight,18KWUCQ4435R1Z5,vendor38@vendormail.test,9684685474,"868 Industrial Estate, Assam",
Orbit Security Services,,vendor39@vendormail.test,9914214275,"818 Industrial Estate, Gujarat",
Meridian Print Works,03IWJWI7575M4ZW,vendor40@vendormail.test,9564939239,"334 Market Road, Punjab",
Falcon Textiles,23YEWRE3285C3Z7,vendor41@vendormail.test,9856873004,"554 Commercial Complex, Madhya Pradesh",
Horizon Consultants,11VPKXP6081F9Z6,vendor42@vendormail.test,9267846357,"710 Market Road, Sikkim",
Skyline Engineering,02IBCFR9853R8ZF,vendor43@vendormail.test,9951122269,"752 Industrial Estate, Himachal Pradesh",
Metro Distributors,,vendor44@vendormail.test,9323322360,"889 Commercial Complex, Jammu and Kashmir",
Greenfield Office Supplies,10DLWMK8003R6ZL,vendor45@vendormail.test,9605945277,"148 Market Road, Bihar",
Delta Logistics,,vendor46@vendormail.test,9875644496,"250 Industrial Estate, Jammu and Kashmir",
Sunrise Hosting,22LFGZY1118N3Z8,vendor47@vendormail.test,9344336379,"844 Industrial Estate, Chhattisgarh",
Prime Stationery,,vendor48@vendormail.test,9973237528,"891 Market Road, Assam",
Ironclad Advertising,08ILFQW8420P1ZD,vendor49@vendormail.test,9373470815,"339 Industrial Estate, Rajasthan",
Reliable Electricals,33PFYUF3073F9ZW,vendor50@vendormail.test,9975974370,"947 Commercial Complex, Tamil Nadu",
Anchor IT Services,,vendor51@vendormail.test,9861482442,"168 Commercial Complex, Bihar",
BlueWave Packaging,,vendor52@vendormail.test,9455480893,"351 Commercial Complex, Uttarakhand",
Skyline Freight,,vendor53@vendormail.test,9748144052,"744 Market Road, Madhya Pradesh",
Crestline Security Services,27UXZQH2703N8Z9,vendor54@vendormail.test,9677068615,"875 Industrial Estate, Maharashtra",
Fusion Print Works,,vendor55@vendormail.test,9784651936,"804 Commercial Complex, Jharkhand",
Greenfield Textiles,,vendor56@vendormail.test,9350017211,"541 Commercial Complex, Odisha",
Falcon Consultants,,vendor57@vendormail.test,9508143904,"624 Industrial Estate, Sikkim",
Skyline Engineering,,vendor58@vendormail.test,9652868878,"688 Commercial Complex, Uttar Pradesh",
Bluepeak Distributors,,vendor59@vendormail.test,9901130413,"234 Industrial Estate, Chhattisgarh",
Apex Office Supplies,,vendor60@vendormail.test,9175755817,"988 Market Road, Karnataka",
Apex Logistics,29INXLA7934F4ZQ,vendor61@vendormail.test,9435851135,"597 Market Road, Karnataka",
Crestline Hosting,,vendor62@vendormail.test,9552846118,"282 Industrial Estate, Haryana",
Vertex Stationery,30OIBDS4692H9ZB,vendor63@vendormail.test,9844971832,"121 Industrial Estate, Goa",
Bluepeak Advertising,,vendor64@vendormail.test,9197836569,"888 Commercial Complex, Chhattisgarh",
Golden Harvest Electricals,08JOBXO2240B9ZB,vendor65@vendormail.test,9225593408,"375 Industrial Estate, Rajasthan",
Metro IT Services,07ILDRM9380Y8ZE,vendor66@vendormail.test,9442276817,"949 Commercial Complex, Delhi",
Fusion Packaging,,vendor67@vendormail.test,9766788228,"377 Commercial Complex, Kerala",
Ironclad Freight,,vendor68@vendormail.test,9417629070,"362 Commercial Complex, Kerala",
Reliable Security Services,29OZAIX4932W7ZI,vendor69@vendormail.test,9704672358,"728 Market Road, Karnataka",
Everest Print Works,10NWYHB4674T6ZK,vendor70@vendormail.test,9840536977,"321 Industrial Estate, Bihar",
Bluepeak Textiles,,vendor71@vendormail.test,9253987655,"829 Industrial Estate, Assam",
Delta Consultants,,vendor72@vendormail.test,9668646696,"661 Market Road, Andhra Pradesh",
Apex Engineering,,vendor73@vendormail.test,9523438238,"666 Commercial Complex, Punjab",
Nimbus Distributors,,vendor74@vendormail.test,9775547178,"727 Industrial Estate, Karnataka",
Everest Office Supplies,18MSIBF3220P7ZQ,vendor75@vendormail.test,9597388789,"208 Industrial Estate, Assam",
Zenith Logistics,,vendor76@vendormail.test,9251930765,"308 Industrial Estate, Gujarat",
Metro Hosting,,vendor77@vendormail.test,9833582557,"879 Industrial Estate, Assam",
Apex Stationery,,vendor78@vendormail.test,9943718307,"173 Market Road, Punjab",
Skyline Advertising,,vendor79@vendormail.test,9110315353,"755 Market Road, Bihar",
Apex Electricals,37LHVUO2478F2Z9,vendor80@vendormail.test,9141645293,"371 Market Road, Andhra Pradesh",
Falcon IT Services,,vendor81@vendormail.test,9613458191,"586 Commercial Complex, Assam",
Pioneer Packaging,33AYMXC4877E6ZT,vendor82@vendormail.test,9536622406,"9 Industrial Estate, Tamil Nadu",
Orbit Freight,,vendor83@vendormail.test,9939374575,"117 Industrial Estate, Punjab",
Emerald Security Services,36ZGNJB4511T7ZL,vendor84@vendormail.test,9595725891,"438 Market Road, Telangana",
Horizon Print Works,22GVDDA3710T2ZN,vendor85@vendormail.test,9639556123,"86 Industrial Estate, Chhattisgarh",
BlueWave Textiles,27WOENP9929U9ZE,vendor86@vendormail.test,9721047638,"389 Market Road, Maharashtra",
Horizon Consultants,18EDORW1591Q3ZE,vendor87@vendormail.test,9820159873,"223 Industrial Estate, Assam",
Reliable Engineering,24SSCYG8062U7Z5,vendor88@vendormail.test,9157804379,"308 Market Road, Gujarat",
Meridian Distributors,,vendor89@vendormail.test,9619962837,"88 Industrial Estate, Punjab",
Titan Office Supplies,,vendor90@vendormail.test,9688255707,"924 Market Road, Tamil Nadu",
Everest Logistics,,vendor91@vendormail.test,9951674289,"782 Commercial Complex, Madhya Pradesh",
Skyline Hosting,01CSUAX5079I5ZX,vendor92@vendormail.test,9561555795,"29 Commercial Complex, Jammu and Kashmir",
Everest Stationery,23MKBSL3514L8ZJ,vendor93@vendormail.test,9342766208,"78 Commercial Complex, Madhya Pradesh",
Redwood Advertising,,vendor94@vendormail.test,9523455793,"27 Industrial Estate, Chandigarh",
Crestline Electricals,30NBQWT1898K8ZB,vendor95@vendormail.test,9301824104,"778 Market Road, Goa",
Northstar IT Services,37FLWAI5602M7ZZ,vendor96@vendormail.test,9837036636,"620 Industrial Estate, Andhra Pradesh",
Titan Packaging,,vendor97@vendormail.test,9366093190,"224 Market Road, Andhra Pradesh",
Delta Freight,22CRNAA9117C5ZD,vendor98@vendormail.test,9700686670,"431 Industrial Estate, Chhattisgarh",
CloudNet Security Services,10FATIN9043J5Z8,vendor99@vendormail.test,9844628716,"539 Market Road, Bihar",
Metro Print Works,,vendor100@vendormail.test,9283716704,"250 Commercial Complex, Goa",
Reliable Textiles,01VMDWI9875W3ZX,vendor101@vendormail.test,9690997836,"969 Commercial Complex, Jammu and Kashmir",
